zipcode,market,slot,claim_cnt,served_flag,density_pred,density_succ
28734,Atlanta GA,1700,0,0,0,0
28734,Atlanta GA,1900,0,0,0,0
28734,Atlanta GA,1300,0,0,0,0
28734,Atlanta GA,1500,0,0,0,0
30004,Atlanta GA,1700,0,0,0,0
30004,Atlanta GA,1900,0,0,0,0
30004,Atlanta GA,1300,0,0,0,0
30004,Atlanta GA,1500,0,0,0,0
30005,Atlanta GA,1700,0,0,0,0
30005,Atlanta GA,1900,0,0,0,0
30005,Atlanta GA,1300,0,0,0,0
30005,Atlanta GA,1500,0,0,0,0
30008,Atlanta GA,1700,0,0,0,0
30008,Atlanta GA,1900,0,0,0,0
30008,Atlanta GA,1300,0,0,0,0
30008,Atlanta GA,1500,0,0,0,0
30009,Atlanta GA,1700,0,0,0,0
30009,Atlanta GA,1900,0,0,0,0
30009,Atlanta GA,1300,0,0,0,0
30009,Atlanta GA,1500,0,0,0,0
30011,Atlanta GA,1700,0,0,0,0
30011,Atlanta GA,1900,0,0,0,0
30011,Atlanta GA,1300,0,0,0,0
30011,Atlanta GA,1500,0,0,0,0
30012,Atlanta GA,1700,0,0,0,0
30012,Atlanta GA,1900,0,0,0,0
30012,Atlanta GA,1300,0,0,0,0
30012,Atlanta GA,1500,0,0,0,0
30013,Atlanta GA,1700,0,0,0,0
30013,Atlanta GA,1900,0,0,0,0
30013,Atlanta GA,1300,0,0,0,0
30013,Atlanta GA,1500,0,0,0,0
30014,Atlanta GA,1700,0,0,0,0
30014,Atlanta GA,1900,0,0,0,0
30014,Atlanta GA,1300,0,0,0,0
30014,Atlanta GA,1500,0,0,0,0
30016,Atlanta GA,1700,0,0,0,0
30016,Atlanta GA,1900,0,0,0,0
30016,Atlanta GA,1300,0,0,0,0
30016,Atlanta GA,1500,0,0,0,0
30017,Atlanta GA,1700,0,0,0,0
30017,Atlanta GA,1900,0,0,0,0
30017,Atlanta GA,1300,0,0,0,0
30017,Atlanta GA,1500,0,0,0,0
30019,Atlanta GA,1700,0,0,0,0
30019,Atlanta GA,1900,0,0,0,0
30019,Atlanta GA,1300,0,0,0,0
30019,Atlanta GA,1500,0,0,0,0
30021,Atlanta GA,1700,0,0,0,0
30021,Atlanta GA,1900,0,0,0,0
30021,Atlanta GA,1300,0,0,0,0
30021,Atlanta GA,1500,0,0,0,0
30022,Atlanta GA,1700,0,0,0,0
30022,Atlanta GA,1900,0,0,0,0
30022,Atlanta GA,1300,0,0,0,0
30022,Atlanta GA,1500,0,0,0,0
30024,Atlanta GA,1700,0,0,0,0
30024,Atlanta GA,1900,0,0,0,0
30024,Atlanta GA,1300,0,0,0,0
30024,Atlanta GA,1500,0,0,0,0
30025,Atlanta GA,1700,0,0,0,0
30025,Atlanta GA,1900,0,0,0,0
30025,Atlanta GA,1300,0,0,0,0
30025,Atlanta GA,1500,0,0,0,0
30028,Atlanta GA,1700,0,0,0,0
30028,Atlanta GA,1900,0,0,0,0
30028,Atlanta GA,1300,0,0,0,0
30028,Atlanta GA,1500,0,0,0,0
30030,Atlanta GA,1700,0,0,0,0
30030,Atlanta GA,1900,0,0,0,0
30030,Atlanta GA,1300,0,0,0,0
30030,Atlanta GA,1500,0,0,0,0
30032,Atlanta GA,1700,0,0,0,0
30032,Atlanta GA,1900,0,0,0,0
30032,Atlanta GA,1300,0,0,0,0
30032,Atlanta GA,1500,0,0,0,0
30033,Atlanta GA,1700,0,0,0,0
30033,Atlanta GA,1900,0,0,0,0
30033,Atlanta GA,1300,0,0,0,0
30033,Atlanta GA,1500,0,0,0,0
30034,Atlanta GA,1700,0,0,0,0
30034,Atlanta GA,1900,0,0,0,0
30034,Atlanta GA,1300,0,0,0,0
30034,Atlanta GA,1500,0,0,0,0
30035,Atlanta GA,1700,0,0,0,0
30035,Atlanta GA,1900,0,0,0,0
30035,Atlanta GA,1300,0,0,0,0
30035,Atlanta GA,1500,0,0,0,0
30038,Atlanta GA,1700,0,0,0,0
30038,Atlanta GA,1900,0,0,0,0
30038,Atlanta GA,1300,0,0,0,0
30038,Atlanta GA,1500,0,0,0,0
30039,Atlanta GA,1700,0,0,0,0
30039,Atlanta GA,1900,0,0,0,0
30039,Atlanta GA,1300,0,0,0,0
30039,Atlanta GA,1500,0,0,0,0
30040,Atlanta GA,1700,0,0,0,0
30040,Atlanta GA,1900,0,0,0,0
30040,Atlanta GA,1300,0,0,0,0
30040,Atlanta GA,1500,0,0,0,0
30041,Atlanta GA,1700,0,0,0,0
30041,Atlanta GA,1900,0,0,0,0
30041,Atlanta GA,1300,0,0,0,0
30041,Atlanta GA,1500,0,0,0,0
30043,Atlanta GA,1700,0,0,0,0
30043,Atlanta GA,1900,0,0,0,0
30043,Atlanta GA,1300,0,0,0,0
30043,Atlanta GA,1500,0,0,0,0
30044,Atlanta GA,1700,0,0,0,0
30044,Atlanta GA,1900,0,0,0,0
30044,Atlanta GA,1300,0,0,0,0
30044,Atlanta GA,1500,0,0,0,0
30045,Atlanta GA,1700,0,0,0,0
30045,Atlanta GA,1900,0,0,0,0
30045,Atlanta GA,1300,0,0,0,0
30045,Atlanta GA,1500,0,0,0,0
30046,Atlanta GA,1700,0,0,0,0
30046,Atlanta GA,1900,0,0,0,0
30046,Atlanta GA,1300,0,0,0,0
30046,Atlanta GA,1500,0,0,0,0
30047,Atlanta GA,1700,0,0,0,0
30047,Atlanta GA,1900,0,0,0,0
30047,Atlanta GA,1300,0,0,0,0
30047,Atlanta GA,1500,0,0,0,0
30052,Atlanta GA,1700,0,0,0,0
30052,Atlanta GA,1900,0,0,0,0
30052,Atlanta GA,1300,0,0,0,0
30052,Atlanta GA,1500,0,0,0,0
30054,Atlanta GA,1700,0,0,0,0
30054,Atlanta GA,1900,0,0,0,0
30054,Atlanta GA,1300,0,0,0,0
30054,Atlanta GA,1500,0,0,0,0
30055,Atlanta GA,1700,0,0,0,0
30055,Atlanta GA,1900,0,0,0,0
30055,Atlanta GA,1300,0,0,0,0
30055,Atlanta GA,1500,0,0,0,0
30056,Atlanta GA,1700,0,0,0,0
30056,Atlanta GA,1900,0,0,0,0
30056,Atlanta GA,1300,0,0,0,0
30056,Atlanta GA,1500,0,0,0,0
30058,Atlanta GA,1700,0,0,0,0
30058,Atlanta GA,1900,0,0,0,0
30058,Atlanta GA,1300,0,0,0,0
30058,Atlanta GA,1500,0,0,0,0
30060,Atlanta GA,1700,0,0,0,0
30060,Atlanta GA,1900,0,0,0,0
30060,Atlanta GA,1300,0,0,0,0
30060,Atlanta GA,1500,0,0,0,0
30062,Atlanta GA,1700,0,0,0,0
30062,Atlanta GA,1900,0,0,0,0
30062,Atlanta GA,1300,0,0,0,0
30062,Atlanta GA,1500,0,0,0,0
30064,Atlanta GA,1700,0,0,0,0
30064,Atlanta GA,1900,0,0,0,0
30064,Atlanta GA,1300,0,0,0,0
30064,Atlanta GA,1500,0,0,0,0
30066,Atlanta GA,1700,0,0,0,0
30066,Atlanta GA,1900,0,0,0,0
30066,Atlanta GA,1300,0,0,0,0
30066,Atlanta GA,1500,0,0,0,0
30067,Atlanta GA,1700,0,0,0,0
30067,Atlanta GA,1900,0,0,0,0
30067,Atlanta GA,1300,0,0,0,0
30067,Atlanta GA,1500,0,0,0,0
30068,Atlanta GA,1700,0,0,0,0
30068,Atlanta GA,1900,0,0,0,0
30068,Atlanta GA,1300,0,0,0,0
30068,Atlanta GA,1500,0,0,0,0
30071,Atlanta GA,1700,0,0,0,0
30071,Atlanta GA,1900,0,0,0,0
30071,Atlanta GA,1300,0,0,0,0
30071,Atlanta GA,1500,0,0,0,0
30072,Atlanta GA,1700,0,0,0,0
30072,Atlanta GA,1900,0,0,0,0
30072,Atlanta GA,1300,0,0,0,0
30072,Atlanta GA,1500,0,0,0,0
30075,Atlanta GA,1700,0,0,0,0
30075,Atlanta GA,1900,0,0,0,0
30075,Atlanta GA,1300,0,0,0,0
30075,Atlanta GA,1500,0,0,0,0
30076,Atlanta GA,1700,0,0,0,0
30076,Atlanta GA,1900,0,0,0,0
30076,Atlanta GA,1300,0,0,0,0
30076,Atlanta GA,1500,0,0,0,0
30078,Atlanta GA,1700,0,0,0,0
30078,Atlanta GA,1900,0,0,0,0
30078,Atlanta GA,1300,0,0,0,0
30078,Atlanta GA,1500,0,0,0,0
30079,Atlanta GA,1700,0,0,0,0
30079,Atlanta GA,1900,0,0,0,0
30079,Atlanta GA,1300,0,0,0,0
30079,Atlanta GA,1500,0,0,0,0
30080,Atlanta GA,1700,0,0,0,0
30080,Atlanta GA,1900,0,0,0,0
30080,Atlanta GA,1300,0,0,0,0
30080,Atlanta GA,1500,0,0,0,0
30082,Atlanta GA,1700,0,0,0,0
30082,Atlanta GA,1900,0,0,0,0
30082,Atlanta GA,1300,0,0,0,0
30082,Atlanta GA,1500,0,0,0,0
30083,Atlanta GA,1700,0,0,0,0
30083,Atlanta GA,1900,0,0,0,0
30083,Atlanta GA,1300,0,0,0,0
30083,Atlanta GA,1500,0,0,0,0
30084,Atlanta GA,1700,0,0,0,0
30084,Atlanta GA,1900,0,0,0,0
30084,Atlanta GA,1300,0,0,0,0
30084,Atlanta GA,1500,0,0,0,0
30087,Atlanta GA,1700,0,0,0,0
30087,Atlanta GA,1900,0,0,0,0
30087,Atlanta GA,1300,0,0,0,0
30087,Atlanta GA,1500,0,0,0,0
30088,Atlanta GA,1700,0,0,0,0
30088,Atlanta GA,1900,0,0,0,0
30088,Atlanta GA,1300,0,0,0,0
30088,Atlanta GA,1500,0,0,0,0
30092,Atlanta GA,1700,0,0,0,0
30092,Atlanta GA,1900,0,0,0,0
30092,Atlanta GA,1300,0,0,0,0
30092,Atlanta GA,1500,0,0,0,0
30093,Atlanta GA,1700,0,0,0,0
30093,Atlanta GA,1900,0,0,0,0
30093,Atlanta GA,1300,0,0,0,0
30093,Atlanta GA,1500,0,0,0,0
30094,Atlanta GA,1700,0,0,0,0
30094,Atlanta GA,1900,0,0,0,0
30094,Atlanta GA,1300,0,0,0,0
30094,Atlanta GA,1500,0,0,0,0
30096,Atlanta GA,1700,0,0,0,0
30096,Atlanta GA,1900,0,0,0,0
30096,Atlanta GA,1300,0,0,0,0
30096,Atlanta GA,1500,0,0,0,0
30097,Atlanta GA,1700,0,0,0,0
30097,Atlanta GA,1900,0,0,0,0
30097,Atlanta GA,1300,0,0,0,0
30097,Atlanta GA,1500,0,0,0,0
30101,Atlanta GA,1700,0,0,0,0
30101,Atlanta GA,1900,0,0,0,0
30101,Atlanta GA,1300,0,0,0,0
30101,Atlanta GA,1500,0,0,0,0
30102,Atlanta GA,1700,0,0,0,0
30102,Atlanta GA,1900,0,0,0,0
30102,Atlanta GA,1300,0,0,0,0
30102,Atlanta GA,1500,0,0,0,0
30103,Atlanta GA,1700,0,0,0,0
30103,Atlanta GA,1900,0,0,0,0
30103,Atlanta GA,1300,0,0,0,0
30103,Atlanta GA,1500,0,0,0,0
30104,Atlanta GA,1700,0,0,0,0
30104,Atlanta GA,1900,0,0,0,0
30104,Atlanta GA,1300,0,0,0,0
30104,Atlanta GA,1500,0,0,0,0
30106,Atlanta GA,1700,0,0,0,0
30106,Atlanta GA,1900,0,0,0,0
30106,Atlanta GA,1300,0,0,0,0
30106,Atlanta GA,1500,0,0,0,0
30107,Atlanta GA,1700,0,0,0,0
30107,Atlanta GA,1900,0,0,0,0
30107,Atlanta GA,1300,0,0,0,0
30107,Atlanta GA,1500,0,0,0,0
30108,Atlanta GA,1700,0,0,0,0
30108,Atlanta GA,1900,0,0,0,0
30108,Atlanta GA,1300,0,0,0,0
30108,Atlanta GA,1500,0,0,0,0
30110,Atlanta GA,1700,0,0,0,0
30110,Atlanta GA,1900,0,0,0,0
30110,Atlanta GA,1300,0,0,0,0
30110,Atlanta GA,1500,0,0,0,0
30113,Atlanta GA,1700,0,0,0,0
30113,Atlanta GA,1900,0,0,0,0
30113,Atlanta GA,1300,0,0,0,0
30113,Atlanta GA,1500,0,0,0,0
30114,Atlanta GA,1700,0,0,0,0
30114,Atlanta GA,1900,0,0,0,0
30114,Atlanta GA,1300,0,0,0,0
30114,Atlanta GA,1500,0,0,0,0
30115,Atlanta GA,1700,0,0,0,0
30115,Atlanta GA,1900,0,0,0,0
30115,Atlanta GA,1300,0,0,0,0
30115,Atlanta GA,1500,0,0,0,0
30116,Atlanta GA,1700,0,0,0,0
30116,Atlanta GA,1900,0,0,0,0
30116,Atlanta GA,1300,0,0,0,0
30116,Atlanta GA,1500,0,0,0,0
30117,Atlanta GA,1700,0,0,0,0
30117,Atlanta GA,1900,0,0,0,0
30117,Atlanta GA,1300,0,0,0,0
30117,Atlanta GA,1500,0,0,0,0
30120,Atlanta GA,1700,0,0,0,0
30120,Atlanta GA,1900,0,0,0,0
30120,Atlanta GA,1300,0,0,0,0
30120,Atlanta GA,1500,0,0,0,0
30121,Atlanta GA,1700,0,0,0,0
30121,Atlanta GA,1900,0,0,0,0
30121,Atlanta GA,1300,0,0,0,0
30121,Atlanta GA,1500,0,0,0,0
30122,Atlanta GA,1700,0,0,0,0
30122,Atlanta GA,1900,0,0,0,0
30122,Atlanta GA,1300,0,0,0,0
30122,Atlanta GA,1500,0,0,0,0
30124,Atlanta GA,1700,0,0,0,0
30124,Atlanta GA,1900,0,0,0,0
30124,Atlanta GA,1300,0,0,0,0
30124,Atlanta GA,1500,0,0,0,0
30125,Atlanta GA,1700,0,0,0,0
30125,Atlanta GA,1900,0,0,0,0
30125,Atlanta GA,1300,0,0,0,0
30125,Atlanta GA,1500,0,0,0,0
30126,Atlanta GA,1700,0,0,0,0
30126,Atlanta GA,1900,0,0,0,0
30126,Atlanta GA,1300,0,0,0,0
30126,Atlanta GA,1500,0,0,0,0
30127,Atlanta GA,1700,0,0,0,0
30127,Atlanta GA,1900,0,0,0,0
30127,Atlanta GA,1300,0,0,0,0
30127,Atlanta GA,1500,0,0,0,0
30132,Atlanta GA,1700,0,0,0,0
30132,Atlanta GA,1900,0,0,0,0
30132,Atlanta GA,1300,0,0,0,0
30132,Atlanta GA,1500,0,0,0,0
30134,Atlanta GA,1700,0,0,0,0
30134,Atlanta GA,1900,0,0,0,0
30134,Atlanta GA,1300,0,0,0,0
30134,Atlanta GA,1500,0,0,0,0
30135,Atlanta GA,1700,0,0,0,0
30135,Atlanta GA,1900,0,0,0,0
30135,Atlanta GA,1300,0,0,0,0
30135,Atlanta GA,1500,0,0,0,0
30137,Atlanta GA,1700,0,0,0,0
30137,Atlanta GA,1900,0,0,0,0
30137,Atlanta GA,1300,0,0,0,0
30137,Atlanta GA,1500,0,0,0,0
30139,Atlanta GA,1700,0,0,0,0
30139,Atlanta GA,1900,0,0,0,0
30139,Atlanta GA,1300,0,0,0,0
30139,Atlanta GA,1500,0,0,0,0
30141,Atlanta GA,1700,0,0,0,0
30141,Atlanta GA,1900,0,0,0,0
30141,Atlanta GA,1300,0,0,0,0
30141,Atlanta GA,1500,0,0,0,0
30143,Atlanta GA,1700,0,0,0,0
30143,Atlanta GA,1900,0,0,0,0
30143,Atlanta GA,1300,0,0,0,0
30143,Atlanta GA,1500,0,0,0,0
30144,Atlanta GA,1700,0,0,0,0
30144,Atlanta GA,1900,0,0,0,0
30144,Atlanta GA,1300,0,0,0,0
30144,Atlanta GA,1500,0,0,0,0
30145,Atlanta GA,1700,0,0,0,0
30145,Atlanta GA,1900,0,0,0,0
30145,Atlanta GA,1300,0,0,0,0
30145,Atlanta GA,1500,0,0,0,0
30147,Atlanta GA,1700,0,0,0,0
30147,Atlanta GA,1900,0,0,0,0
30147,Atlanta GA,1300,0,0,0,0
30147,Atlanta GA,1500,0,0,0,0
30152,Atlanta GA,1700,0,0,0,0
30152,Atlanta GA,1900,0,0,0,0
30152,Atlanta GA,1300,0,0,0,0
30152,Atlanta GA,1500,0,0,0,0
30153,Atlanta GA,1700,0,0,0,0
30153,Atlanta GA,1900,0,0,0,0
30153,Atlanta GA,1300,0,0,0,0
30153,Atlanta GA,1500,0,0,0,0
30157,Atlanta GA,1700,0,0,0,0
30157,Atlanta GA,1900,0,0,0,0
30157,Atlanta GA,1300,0,0,0,0
30157,Atlanta GA,1500,0,0,0,0
30161,Atlanta GA,1700,0,0,0,0
30161,Atlanta GA,1900,0,0,0,0
30161,Atlanta GA,1300,0,0,0,0
30161,Atlanta GA,1500,0,0,0,0
30165,Atlanta GA,1700,0,0,0,0
30165,Atlanta GA,1900,0,0,0,0
30165,Atlanta GA,1300,0,0,0,0
30165,Atlanta GA,1500,0,0,0,0
30168,Atlanta GA,1700,0,0,0,0
30168,Atlanta GA,1900,0,0,0,0
30168,Atlanta GA,1300,0,0,0,0
30168,Atlanta GA,1500,0,0,0,0
30171,Atlanta GA,1700,0,0,0,0
30171,Atlanta GA,1900,0,0,0,0
30171,Atlanta GA,1300,0,0,0,0
30171,Atlanta GA,1500,0,0,0,0
30173,Atlanta GA,1700,0,0,0,0
30173,Atlanta GA,1900,0,0,0,0
30173,Atlanta GA,1300,0,0,0,0
30173,Atlanta GA,1500,0,0,0,0
30175,Atlanta GA,1700,0,0,0,0
30175,Atlanta GA,1900,0,0,0,0
30175,Atlanta GA,1300,0,0,0,0
30175,Atlanta GA,1500,0,0,0,0
30176,Atlanta GA,1700,0,0,0,0
30176,Atlanta GA,1900,0,0,0,0
30176,Atlanta GA,1300,0,0,0,0
30176,Atlanta GA,1500,0,0,0,0
30178,Atlanta GA,1700,0,0,0,0
30178,Atlanta GA,1900,0,0,0,0
30178,Atlanta GA,1300,0,0,0,0
30178,Atlanta GA,1500,0,0,0,0
30179,Atlanta GA,1700,0,0,0,0
30179,Atlanta GA,1900,0,0,0,0
30179,Atlanta GA,1300,0,0,0,0
30179,Atlanta GA,1500,0,0,0,0
30180,Atlanta GA,1700,0,0,0,0
30180,Atlanta GA,1900,0,0,0,0
30180,Atlanta GA,1300,0,0,0,0
30180,Atlanta GA,1500,0,0,0,0
30182,Atlanta GA,1700,0,0,0,0
30182,Atlanta GA,1900,0,0,0,0
30182,Atlanta GA,1300,0,0,0,0
30182,Atlanta GA,1500,0,0,0,0
30183,Atlanta GA,1700,0,0,0,0
30183,Atlanta GA,1900,0,0,0,0
30183,Atlanta GA,1300,0,0,0,0
30183,Atlanta GA,1500,0,0,0,0
30185,Atlanta GA,1700,0,0,0,0
30185,Atlanta GA,1900,0,0,0,0
30185,Atlanta GA,1300,0,0,0,0
30185,Atlanta GA,1500,0,0,0,0
30187,Atlanta GA,1700,0,0,0,0
30187,Atlanta GA,1900,0,0,0,0
30187,Atlanta GA,1300,0,0,0,0
30187,Atlanta GA,1500,0,0,0,0
30188,Atlanta GA,1700,0,0,0,0
30188,Atlanta GA,1900,0,0,0,0
30188,Atlanta GA,1300,0,0,0,0
30188,Atlanta GA,1500,0,0,0,0
30189,Atlanta GA,1700,0,0,0,0
30189,Atlanta GA,1900,0,0,0,0
30189,Atlanta GA,1300,0,0,0,0
30189,Atlanta GA,1500,0,0,0,0
30204,Atlanta GA,1700,0,0,0,0
30204,Atlanta GA,1900,0,0,0,0
30204,Atlanta GA,1300,0,0,0,0
30204,Atlanta GA,1500,0,0,0,0
30205,Atlanta GA,1700,0,0,0,0
30205,Atlanta GA,1900,0,0,0,0
30205,Atlanta GA,1300,0,0,0,0
30205,Atlanta GA,1500,0,0,0,0
30213,Atlanta GA,1700,0,0,0,0
30213,Atlanta GA,1900,0,0,0,0
30213,Atlanta GA,1300,0,0,0,0
30213,Atlanta GA,1500,0,0,0,0
30214,Atlanta GA,1700,0,0,0,0
30214,Atlanta GA,1900,0,0,0,0
30214,Atlanta GA,1300,0,0,0,0
30214,Atlanta GA,1500,0,0,0,0
30215,Atlanta GA,1700,0,0,0,0
30215,Atlanta GA,1900,0,0,0,0
30215,Atlanta GA,1300,0,0,0,0
30215,Atlanta GA,1500,0,0,0,0
30216,Atlanta GA,1700,0,0,0,0
30216,Atlanta GA,1900,0,0,0,0
30216,Atlanta GA,1300,0,0,0,0
30216,Atlanta GA,1500,0,0,0,0
30223,Atlanta GA,1700,0,0,0,0
30223,Atlanta GA,1900,0,0,0,0
30223,Atlanta GA,1300,0,0,0,0
30223,Atlanta GA,1500,0,0,0,0
30224,Atlanta GA,1700,0,0,0,0
30224,Atlanta GA,1900,0,0,0,0
30224,Atlanta GA,1300,0,0,0,0
30224,Atlanta GA,1500,0,0,0,0
30228,Atlanta GA,1700,0,0,0,0
30228,Atlanta GA,1900,0,0,0,0
30228,Atlanta GA,1300,0,0,0,0
30228,Atlanta GA,1500,0,0,0,0
30233,Atlanta GA,1700,0,0,0,0
30233,Atlanta GA,1900,0,0,0,0
30233,Atlanta GA,1300,0,0,0,0
30233,Atlanta GA,1500,0,0,0,0
30234,Atlanta GA,1700,0,0,0,0
30234,Atlanta GA,1900,0,0,0,0
30234,Atlanta GA,1300,0,0,0,0
30234,Atlanta GA,1500,0,0,0,0
30236,Atlanta GA,1700,0,0,0,0
30236,Atlanta GA,1900,0,0,0,0
30236,Atlanta GA,1300,0,0,0,0
30236,Atlanta GA,1500,0,0,0,0
30238,Atlanta GA,1700,0,0,0,0
30238,Atlanta GA,1900,0,0,0,0
30238,Atlanta GA,1300,0,0,0,0
30238,Atlanta GA,1500,0,0,0,0
30248,Atlanta GA,1700,0,0,0,0
30248,Atlanta GA,1900,0,0,0,0
30248,Atlanta GA,1300,0,0,0,0
30248,Atlanta GA,1500,0,0,0,0
30252,Atlanta GA,1700,0,0,0,0
30252,Atlanta GA,1900,0,0,0,0
30252,Atlanta GA,1300,0,0,0,0
30252,Atlanta GA,1500,0,0,0,0
30253,Atlanta GA,1700,0,0,0,0
30253,Atlanta GA,1900,0,0,0,0
30253,Atlanta GA,1300,0,0,0,0
30253,Atlanta GA,1500,0,0,0,0
30257,Atlanta GA,1700,0,0,0,0
30257,Atlanta GA,1900,0,0,0,0
30257,Atlanta GA,1300,0,0,0,0
30257,Atlanta GA,1500,0,0,0,0
30260,Atlanta GA,1700,0,0,0,0
30260,Atlanta GA,1900,0,0,0,0
30260,Atlanta GA,1300,0,0,0,0
30260,Atlanta GA,1500,0,0,0,0
30263,Atlanta GA,1700,0,0,0,0
30263,Atlanta GA,1900,0,0,0,0
30263,Atlanta GA,1300,0,0,0,0
30263,Atlanta GA,1500,0,0,0,0
30265,Atlanta GA,1700,0,0,0,0
30265,Atlanta GA,1900,0,0,0,0
30265,Atlanta GA,1300,0,0,0,0
30265,Atlanta GA,1500,0,0,0,0
30268,Atlanta GA,1700,0,0,0,0
30268,Atlanta GA,1900,0,0,0,0
30268,Atlanta GA,1300,0,0,0,0
30268,Atlanta GA,1500,0,0,0,0
30269,Atlanta GA,1700,0,0,0,0
30269,Atlanta GA,1900,0,0,0,0
30269,Atlanta GA,1300,0,0,0,0
30269,Atlanta GA,1500,0,0,0,0
30273,Atlanta GA,1700,0,0,0,0
30273,Atlanta GA,1900,0,0,0,0
30273,Atlanta GA,1300,0,0,0,0
30273,Atlanta GA,1500,0,0,0,0
30274,Atlanta GA,1700,0,0,0,0
30274,Atlanta GA,1900,0,0,0,0
30274,Atlanta GA,1300,0,0,0,0
30274,Atlanta GA,1500,0,0,0,0
30276,Atlanta GA,1700,0,0,0,0
30276,Atlanta GA,1900,0,0,0,0
30276,Atlanta GA,1300,0,0,0,0
30276,Atlanta GA,1500,0,0,0,0
30277,Atlanta GA,1700,0,0,0,0
30277,Atlanta GA,1900,0,0,0,0
30277,Atlanta GA,1300,0,0,0,0
30277,Atlanta GA,1500,0,0,0,0
30281,Atlanta GA,1700,0,0,0,0
30281,Atlanta GA,1900,0,0,0,0
30281,Atlanta GA,1300,0,0,0,0
30281,Atlanta GA,1500,0,0,0,0
30288,Atlanta GA,1700,0,0,0,0
30288,Atlanta GA,1900,0,0,0,0
30288,Atlanta GA,1300,0,0,0,0
30288,Atlanta GA,1500,0,0,0,0
30290,Atlanta GA,1700,0,0,0,0
30290,Atlanta GA,1900,0,0,0,0
30290,Atlanta GA,1300,0,0,0,0
30290,Atlanta GA,1500,0,0,0,0
30291,Atlanta GA,1700,0,0,0,0
30291,Atlanta GA,1900,0,0,0,0
30291,Atlanta GA,1300,0,0,0,0
30291,Atlanta GA,1500,0,0,0,0
30292,Atlanta GA,1700,0,0,0,0
30292,Atlanta GA,1900,0,0,0,0
30292,Atlanta GA,1300,0,0,0,0
30292,Atlanta GA,1500,0,0,0,0
30294,Atlanta GA,1700,0,0,0,0
30294,Atlanta GA,1900,0,0,0,0
30294,Atlanta GA,1300,0,0,0,0
30294,Atlanta GA,1500,0,0,0,0
30295,Atlanta GA,1700,0,0,0,0
30295,Atlanta GA,1900,0,0,0,0
30295,Atlanta GA,1300,0,0,0,0
30295,Atlanta GA,1500,0,0,0,0
30296,Atlanta GA,1700,0,0,0,0
30296,Atlanta GA,1900,0,0,0,0
30296,Atlanta GA,1300,0,0,0,0
30296,Atlanta GA,1500,0,0,0,0
30297,Atlanta GA,1700,0,0,0,0
30297,Atlanta GA,1900,0,0,0,0
30297,Atlanta GA,1300,0,0,0,0
30297,Atlanta GA,1500,0,0,0,0
30303,Atlanta GA,1700,0,0,0,0
30303,Atlanta GA,1900,0,0,0,0
30303,Atlanta GA,1300,0,0,0,0
30303,Atlanta GA,1500,0,0,0,0
30305,Atlanta GA,1700,0,0,0,0
30305,Atlanta GA,1900,0,0,0,0
30305,Atlanta GA,1300,0,0,0,0
30305,Atlanta GA,1500,0,0,0,0
30306,Atlanta GA,1700,0,0,0,0
30306,Atlanta GA,1900,0,0,0,0
30306,Atlanta GA,1300,0,0,0,0
30306,Atlanta GA,1500,0,0,0,0
30307,Atlanta GA,1700,0,0,0,0
30307,Atlanta GA,1900,0,0,0,0
30307,Atlanta GA,1300,0,0,0,0
30307,Atlanta GA,1500,0,0,0,0
30308,Atlanta GA,1700,0,0,0,0
30308,Atlanta GA,1900,0,0,0,0
30308,Atlanta GA,1300,0,0,0,0
30308,Atlanta GA,1500,0,0,0,0
30309,Atlanta GA,1700,0,0,0,0
30309,Atlanta GA,1900,0,0,0,0
30309,Atlanta GA,1300,0,0,0,0
30309,Atlanta GA,1500,0,0,0,0
